filename,Rank,Player,Team,Position,Points,Games,Avg
wk01_ppr.csv,1,Amari Cooper,DAL,WR,38.9,1,38.9
wk01_ppr.csv,2,Tyreek Hill,KC,WR,37.1,1,37.1
wk01_ppr.csv,3,Kyler Murray,ARI,QB,34.6,1,34.6
wk01_ppr.csv,4,Patrick Mahomes II,KC,QB,33.3,1,33.3
wk01_ppr.csv,5,Deebo Samuel,SF,WR,31.9,1,31.9
wk01_ppr.csv,6,Adam Thielen,MIN,WR,30.2,1,30.2
wk01_ppr.csv,7,Jared Goff,DET,QB,29.9,1,29.9
wk01_ppr.csv,8,Jameis Winston,NO,QB,29.6,1,29.6
wk01_ppr.csv,9,Tom Brady,TB,QB,29.2,1,29.2
wk01_ppr.csv,10,Rob Gronkowski,TB,TE,29,1,29
wk01_ppr.csv,11,Jalen Hurts,PHI,QB,28.8,1,28.8
wk01_ppr.csv,12,Dak Prescott,DAL,QB,28.4,1,28.4
wk01_ppr.csv,13,Christian McCaffrey,CAR,RB,27.7,1,27.7
wk01_ppr.csv,14,Russell Wilson,SEA,QB,27.1,1,27.1
wk01_ppr.csv,15,Corey Davis,NYJ,WR,26.7,1,26.7
wk01_ppr.csv,16,Darren Waller,LV,TE,26.5,1,26.5
wk01_ppr.csv,17,DeAndre Hopkins,ARI,WR,26.3,1,26.3
wk01_ppr.csv,18,Tyler Lockett,SEA,WR,26,1,26
wk01_ppr.csv,19,T.J. Hockenson,DET,TE,25.7,1,25.7
wk01_ppr.csv,20,Travis Kelce,KC,TE,25.6,1,25.6
wk01_ppr.csv,21,Jamaal Williams,DET,RB,25,1,25
wk01_ppr.csv,21,Joe Mixon,CIN,RB,25,1,25
wk01_ppr.csv,21,Derek Carr,LV,QB,25,1,25
wk01_ppr.csv,24,D'Andre Swift,DET,RB,24.4,1,24.4
wk01_ppr.csv,25,Sterling Shepard,NYG,WR,24.3,1,24.3
wk01_ppr.csv,25,Matthew Stafford,LAR,QB,24.3,1,24.3
wk01_ppr.csv,27,Christian Kirk,ARI,WR,24,1,24
wk01_ppr.csv,28,Cooper Kupp,LAR,WR,23.8,1,23.8
wk01_ppr.csv,29,Antonio Brown,TB,WR,23.7,1,23.7
wk01_ppr.csv,30,Tyrod Taylor,HOU,QB,23.6,1,23.6
wk01_ppr.csv,31,Chris Godwin,TB,WR,23.5,1,23.5
wk01_ppr.csv,32,CeeDee Lamb,DAL,WR,23.4,1,23.4
wk01_ppr.csv,33,Mike Williams,LAC,WR,22.2,1,22.2
wk01_ppr.csv,34,Nick Chubb,CLE,RB,22.1,1,22.1
wk01_ppr.csv,34,Trevor Lawrence,JAC,QB,22.1,1,22.1
wk01_ppr.csv,36,Kirk Cousins,MIN,QB,22,1,22
wk01_ppr.csv,37,Daniel Jones,NYG,QB,21.4,1,21.4
wk01_ppr.csv,38,Ja'Marr Chase,CIN,WR,20.9,1,20.9
wk01_ppr.csv,39,Melvin Gordon III,DEN,RB,20.8,1,20.8
wk01_ppr.csv,40,Teddy Bridgewater,DEN,QB,20.5,1,20.5
wk01_ppr.csv,41,Dalvin Cook,MIN,RB,20.4,1,20.4
wk01_ppr.csv,42,Zach Pascal,IND,WR,20.3,1,20.3
wk01_ppr.csv,43,Jarvis Landry,CLE,WR,19.4,1,19.4
wk01_ppr.csv,43,Marquise Brown,BAL,WR,19.4,1,19.4
wk01_ppr.csv,45,Zach Wilson,NYJ,QB,19.3,1,19.3
wk01_ppr.csv,46,DeVonta Smith,PHI,WR,19.1,1,19.1
wk01_ppr.csv,46,Sam Darnold,CAR,QB,19.1,1,19.1
wk01_ppr.csv,48,Keenan Allen,LAC,WR,19,1,19
wk01_ppr.csv,49,David Montgomery,CHI,RB,18.8,1,18.8
wk01_ppr.csv,50,Marvin Jones Jr.,JAC,WR,18.7,1,18.7
wk01_ppr.csv,51,Joe Burrow,CIN,QB,18.6,1,18.6
wk01_ppr.csv,52,Ty'Son Williams,BAL,RB,18.4,1,18.4
wk01_ppr.csv,53,Carson Wentz,IND,QB,18.3,1,18.3
wk01_ppr.csv,54,Nelson Agholor,NE,WR,18.2,1,18.2
wk01_ppr.csv,54,Brandin Cooks,HOU,WR,18.2,1,18.2
wk01_ppr.csv,56,Alvin Kamara,NO,RB,18.1,1,18.1
wk01_ppr.csv,57,Lamar Jackson,BAL,QB,18,1,18
wk01_ppr.csv,58,Jonathan Taylor,IND,RB,17.6,1,17.6
wk01_ppr.csv,58,D.J. Chark Jr.,JAC,WR,17.6,1,17.6
wk01_ppr.csv,60,Miles Sanders,PHI,RB,17.3,1,17.3
wk01_ppr.csv,61,Tua Tagovailoa,MIA,QB,17.2,1,17.2
