"Rank","Player","Team","Position","Points","Games","Avg"
"1","CeeDee Lamb","DAL","WR","36.1","1","36.1"
"2","Derrick Henry","TEN","RB","35.6","1","35.6"
"3","Cooper Kupp","LAR","WR","34.0","1","34.0"
"4","Leonard Fournette","TB","RB","30.7","1","30.7"
"5","Adam Thielen","MIN","WR","29.8","1","29.8"
"6","Josh Allen","BUF","QB","29.7","1","29.7"
"7","Jaylen Waddle","MIA","WR","29.0","1","29.0"
"8","Jonathan Taylor","IND","RB","28.8","1","28.8"
"9","Kirk Cousins","MIN","QB","28.5","1","28.5"
"10","Dak Prescott","DAL","QB","27.8","1","27.8"
"11","Joe Mixon","CIN","RB","26.3","1","26.3"
"12","Matthew Stafford","LAR","QB","26.2","1","26.2"
"13","Donovan Peoples-Jones","CLE","WR","26.1","1","26.1"
"14","Jalen Hurts","PHI","QB","26.0","1","26.0"
"15","Kyler Murray","ARI","QB","25.8","1","25.8"
"16","Patrick Mahomes II","KC","QB","25.0","1","25.0"
"17","Najee Harris","PIT","RB","24.7","1","24.7"
"17","Darrell Henderson Jr.","LAR","RB","24.7","1","24.7"
"17","Noah Fant","DEN","TE","24.7","1","24.7"
"20","Antonio Brown","TB","WR","24.3","1","24.3"
"21","Stefon Diggs","BUF","WR","23.9","1","23.9"
"21","Darrel Williams","KC","RB","23.9","1","23.9"
"23","Joe Burrow","CIN","QB","23.8","1","23.8"
"24","Aaron Rodgers","GB","QB","23.7","1","23.7"
"25","Courtland Sutton","DEN","WR","23.4","1","23.4"
"26","Marvin Jones Jr.","JAC","WR","23.0","1","23.0"
"27","Tyreek Hill","KC","WR","22.6","1","22.6"
"28","Tua Tagovailoa","MIA","QB","22.4","1","22.4"
"29","Dalvin Cook","MIN","RB","22.3","1","22.3"
"30","Cole Beasley","BUF","WR","21.8","1","21.8"
"31","Derek Carr","LV","QB","21.5","1","21.5"
"32","Kenyan Drake","LV","RB","21.3","1","21.3"
"32","Teddy Bridgewater","DEN","QB","21.3","1","21.3"
"34","Aaron Jones","GB","RB","21.0","1","21.0"
"35","DeAndre Hopkins","ARI","WR","20.5","1","20.5"
"36","K.J. Osborn","MIN","WR","19.8","1","19.8"
"37","Mike Gesicki","MIA","TE","19.5","1","19.5"
"38","Khalil Herbert","CHI","RB","19.2","1","19.2"
"39","James Robinson","JAC","RB","19.1","1","19.1"
"40","J.D. McKissic","WAS","RB","19.0","1","19.0"
"40","Tom Brady","TB","QB","19.0","1","19.0"
"42","Ezekiel Elliott","DAL","RB","18.9","1","18.9"
"42","A.J. Green","ARI","WR","18.9","1","18.9"
"44","Henry Ruggs III","LV","WR","18.7","1","18.7"
"45","Diontae Johnson","PIT","WR","18.6","1","18.6"
"46","Christian Kirk","ARI","WR","18.5","1","18.5"
"47","Travis Kelce","KC","TE","17.9","1","17.9"
